idea_text,feasibility_score,technical,market,financial
AI-free voice-controlled kitchen timers,7.0,7,7,7
Handmade puzzle box craftsmanship kits,6.7,8,6,6
Solar-powered desert cooling stations,7.3,8,7,7
Ethical wildlife safari tracking tools,7.0,7,7,7
DIY natural ink tattooing workshops,6.7,8,6,6
Modular eco-pod hotels for hikers,7.3,7,8,7
Community-driven oral history podcasts,7.7,5,9,9
Handmade herbal soap subscription boxes,7.3,6,8,8
Wind-up educational toys for kids,7.0,7,7,7
AI-free gesture-based musical instruments,7.3,8,7,7
Artisanal fermented food festivals,7.7,6,9,8
Low-tech oyster reef restoration kits,7.0,7,7,7
Portable geothermal camping showers,6.7,8,6,6
Vintage comic book restoration services,7.3,7,8,7
DIY eco-friendly candle-making kits,7.0,6,8,7
Community seed bomb guerrilla gardening,7.7,5,9,9
Hand-forged culinary knife workshops,7.3,8,7,7
Solar-powered glacier melt monitors,6.7,8,6,6
Urban mushroom foraging guided tours,7.0,6,8,7
Modular zero-waste pop-up markets,7.3,7,8,7
AI-free tactile braille video games,7.0,8,7,6
Artisanal cheese aging cave networks,7.3,7,8,7
Handmade marionette puppet theaters,6.7,7,7,6
Low-tech coral reef soundscapes for restoration,7.0,7,7,7
Community-driven analog radio stations,7.3,6,8,8
Solar-powered trail markers for hikers,7.0,7,7,7
Ethical alpaca wool knitting collectives,7.7,6,9,8
DIY natural dye textile workshops,7.3,7,8,7
Portable hand-operated printing presses,6.7,7,7,6
AI-free robotic library book sorters,7.0,8,7,6
Modular bamboo wind chime kits,7.3,6,8,8
Urban rooftop quail farming co-ops,7.0,7,7,7
Handmade scented bookmark crafting,6.7,6,7,7
Low-tech tidal energy buoys for villages,7.3,8,7,7
Community-driven heritage seed banks,7.7,5,9,9
Solar-powered bird migration trackers,7.0,7,7,7
Artisanal honey mead brewing workshops,7.3,7,8,7
DIY natural disaster preparedness kits,7.7,6,9,8
Hand-cranked emergency weather radios,6.7,7,7,6
Modular floating community gardens,7.3,7,8,7
Ethical slow fashion tailoring collectives,7.0,7,7,7
AI-free sign language teaching robots,7.3,8,7,7
Urban beekeeping honey tasting tours,7.7,6,9,8
Low-tech seaweed farming starter kits,7.0,7,7,7
Handmade terrarium fairy garden kits,7.3,6,8,8
Portable solar-powered pottery wheels,7.0,7,7,7
Community-driven mural restoration projects,7.3,6,8,8
DIY natural plant-based ink workshops,6.7,7,7,6
Modular rainwater-filtering playgrounds,7.0,7,7,7  
Ramen noodle subscription box with DIY recipes,8.0,5,9,9  
Nap pod rental service for all-nighters",7.3,7,8,7  
Laundry-folding robot disguised as a teddy bear,6.7,8,6,6  
Lecture note black market,7.7,4,9,8  
Plant parenthood support group with punny names,7.0,3,8,8  
Anti-snoring dorm bed shaker ,6.3,7,7,5  
TikTok lecture summaries by drama students,8.0,5,9,9  
Free pizza tracker for campus club events,7.7,6,9,8  
Roommate Tinder: Match by music taste/sleep schedules,7.3,7,8,7  
Stress-relief room with bubble wrap walls,7.0,4,8,7  
Textbook exchange disguised as a speakeasy,7.3,5,8,8  
Instant coffee IV drip for finals week,6.7,7,7,6  
AI-free meme generator for group project drama,7.0,6,8,7  
Uber for borrowing chargers during exams,7.7,6,9,8  
Lecture bingo cards (bonus for 'PDF required'),6.3,3,7,6  
Microwaveable mac-and-cheese hoodies,5.0,8,6,3  
Pop-up thrift stores in dorm basements,7.3,4,8,8  
Campus-wide pillow fight flash mob organizer,7.7,3,9,9  
Anonymous cafeteria food roast blog,7.0,4,8,7  
DIY dorm room escape room kits,7.3,6,8,7  
Reverse vending machine: Trade cans for WiFi codes,6.7,7,7,6  
Edible cookie dough vending machines,8.0,5,9,9  
Lecture hall seat warmers (like parking spots),6,7,6,5  
Pet rock therapy sessions during midterms,7.0,2,8,7  
Group study sessions with ASMR whispers,6.7,4,7,7  
Lost-and-found dating app (find your AirPod soulmate),7.3,7,8,7  
Instant ramen art contests,7.7,3,9,9  
Procrastination accountability llamas ,6.3,4,7,6  
Free coffee in exchange for TikTok dances,7.0,3,8,8  
DIY dorm decor from recycled Red Bull cans,7.3,5,8,8  
Solar-powered flashlight,2.3,7,1,1
AI-powered pet rock,4.0,8,3,1
Gluten-free water bottles,3.0,6,1,2
Uber for cleaning up dog poop,3.7,5,4,2
Reverse microwave (cools food),2.3,8,1,1
Subscription service for oxygen,1.7,3,1,1
Toothpaste-flavored coffee,4.3,5,5,3
Tinder for houseplants,2.7,4,3,1
WiFi-enabled toilet paper,3.0,7,2,0
Edible cutlery made of ice,1.7,5,1,0
App to unsend others' emails,1.3,9,1,0
Crowdfunded time travel R&D,1.0,10,1,0
Flaming soccer balls for night games,2.0,6,2,1
Pay-per-sneeze health insurance,3.0,4,4,1
NFTs for air rights,2.3,5,2,0
Self-driving shopping carts,3.7,8,3,1
Diet water (zero calories),3.3,2,4,4
Smart fork that scolds eating speed,4.0,7,3,2
Manual selfie stick for cats,1.7,3,2,0
Microwaveable snow globes,2.3,5,2,0
AI-generated breakup letters,4.3,8,3,2
Inflatable homework (waterproof paper),2.0,6,1,0
VR goggles for goldfish,1.0,9,0,0
Crypto-based weather forecasts,2.7,7,2,0
Alarm clock that charges for snoozing,3.3,6,3,1
Selfie drone for rats,1.7,7,1,0
Blockchain-based voting for pets,2.3,6,2,0
Electric unicycle for toddlers,1.3,8,1,0
Hand-sanitizer flavored gum,4.0,5,4,3
Eco-friendly fireworks (silent),3.7,7,3,1
Solar-powered public phone charging stations,7.7,8,8,7  
Modular vertical farming kits for apartments,7.3,7,8,7  
Smart trash bins with fill-level alerts,7.0,7,7,7  
Community-run tool libraries,7.7,6,9,8  
Biodegradable plant pots from rice husks,7.3,7,8,7  
Portable water quality testing devices,7.0,7,7,7  
Low-cost braille signage for public spaces,7.3,7,8,7  
Reusable silicone food storage bags,8.0,6,9,9  
Solar-powered irrigation timers,7.7,8,8,7  
Pedestrian-friendly LED crosswalks,7.3,7,8,7  
Eco-friendly laundry detergent sheets,7.7,6,9,8  
Bicycle repair stations in urban parks,7.0,6,8,7  
Handheld air quality monitors for homes,7.3,7,8,7  
Community cold storage for food surplus,7.7,7,8,8  
Modular playgrounds from recycled plastics,7.3,7,8,7  
Low-energy dehumidifiers for damp climates,7.0,7,7,7  
Solar-powered highway warning signs,7.3,8,7,7  
Subscription-based toy rental service,7.7,6,9,8  
Manual coffee grinders for cafes,6.7,6,7,7  
Urban wind turbines for balconies,6.3,7,6,6  
Portable disaster relief water filters,8.0,8,8,7  
Community garden rainwater catchment,7.3,6,8,8  
Recycled glass countertop manufacturing,7.0,7,7,7  
Low-cost prosthetic limb 3D printing,7.7,9,7,7  
Solar-powered bus stop lighting,7.3,7,8,7  
Farmers' market delivery bikes,7.0,6,8,7  
Modular disaster-relief housing units,7.3,7,8,7  
Hand-cranked emergency radios,6.7,6,7,7  
Paperless ticketing for public transit,7.7,7,8,8  
Portable solar water heaters,7.0,7,7,7  
Smart thermometers for livestock,7.3,8,7,7  
Community composting hubs,7.7,6,9,8  
Low-tech soil erosion barriers,7.0,6,8,7  
Solar-powered street vendor carts,7.3,7,8,7  
Reusable metal straw kits,8.0,5,9,9  
Modular green roofs for urban buildings,7.3,7,8,7  
Handheld UV sanitizers for hospitals,7.7,8,8,7  
Community-owned solar farms,7.3,7,8,7  
Low-cost hearing aid refurbishment,7.0,7,7,7  
Portable handwashing stations for events,7.7,6,9,8  
Biodegradable fishing nets,7.3,7,8,7  
Smartphone-based crop disease detection,7.0,8,7,6  
DIY home energy audit kits,7.3,7,8,7  
Solar-powered vaccine refrigerators,8.0,8,8,7  
Community-run carpool apps,7.3,7,8,7  
Recycled tire speed bumps,7.0,6,8,7  
Low-energy streetlight motion sensors,7.7,8,8,7  
Manual well water purification systems,7.3,7,8,7  
Modular beehives for urban areas,7.0,6,8,7  
Portable disaster relief kitchens,7.3,7,8,7  
Solar-powered classroom projectors,7.7,8,8,7  
Community-based WiFi mesh networks,7.3,7,8,7  
Reusable cloth produce bags,8.0,5,9,9  
Low-cost braille printers,7.3,8,7,7  
Wind-resistant emergency tents,7.0,7,7,7  
Solar-charged camping lanterns,7.7,7,8,8  
Urban fruit tree mapping apps,7.3,6,8,8  
Portable school-in-a-box kits,7.0,6,8,7  
Modular rainwater collection barrels,7.7,7,8,8  
Low-tech food dehydrators,7.3,6,8,7  
Community-run repair cafés,7.7,6,9,8  
Solar-powered traffic counters,7.0,7,7,7  
Handheld battery-free flashlights,7.3,7,8,7  
Recycled concrete park benches,7.0,6,8,7  
Low-cost neonatal incubators,7.7,8,7,8  
Portable solar desalination units,7.3,8,7,7  
Community disaster response drones,7.0,7,7,7  
Modular green walls for offices,7.7,7,8,8  
Biodegradable planting pots,7.3,6,8,7  
Solar-powered library book scanners,7.0,7,7,7  
Low-energy egg incubators,7.3,7,8,7  
Portable hand-pumped water wells,7.7,7,8,8  
Community art supply swaps,7.3,5,8,8  
Recycled plastic lumber production,7.0,7,7,7  
Solar-powered street art lighting,7.7,7,8,8  
Low-cost wheelchair repair kits,7.3,7,8,7  
Modular flood barrier systems,7.0,7,7,7  
Community-run seed libraries,8.0,5,9,9  
Portable solar-powered fans,7.3,7,8,7  
Low-tech water filtration clay pots,7.0,7,7,7  
Biodegradable party decorations,7.7,6,9,8  
Solar-powered outdoor Wi-Fi hubs,7.3,8,7,7  
Reusable silicone cupcake molds,8.0,5,9,9  
Low-energy baby food warmers,7.0,7,7,7  
Community-owned electric bikes,7.7,7,8,8  
Portable disaster medical kits,7.3,6,8,8  
Modular classroom furniture,7.0,6,8,7  
Solar-powered parking meters,7.7,8,8,7  
Low-cost reusable menstrual kits,7.3,6,8,8  
Community-run farmers' cooperatives,7.7,5,9,9  
Biodegradable pet waste bags,7.3,6,8,8  
Solar-powered boat charging stations,7.0,7,7,7  
Portable hand-operated water pumps,7.3,7,8,7  
Low-tech rodent-proof grain storage,7.7,7,8,8  
Community mural preservation kits,7.0,6,8,7  
Recycled glassware production,7.3,7,8,7  
Solar-powered trail cameras,7.7,8,8,7  
Low-cost reusable ice packs,7.3,6,8,8  
Community-run composting toilets,7.0,7,7,7  
Portable solar-powered water pumps,7.7,8,8,7  
Modular disaster-relief bridges,7.3,8,7,7   
Solar-powered streetlights with motion sensors,8.0,8,8,8  
Modular rooftop greenhouse kits,7.7,7,8,8  
Smart irrigation systems for home gardens,7.3,8,7,7  
Portable water filtration straws for hikers,8.3,7,9,9  
Community-run electric bike charging stations,7.7,7,8,8  
Biodegradable phone cases from mushroom mycelium,7.3,7,8,7  
Low-cost reusable sanitary pad production,8.0,6,9,9  
Solar-powered public EV charging hubs,7.7,8,8,7  
Handheld soil nutrient testers for farmers,7.3,7,8,7  
Urban vertical herb gardens for restaurants,7.7,6,9,8  
Modular disaster-relief medical tents,7.3,7,8,7  
Recycled plastic outdoor gym equipment,7.7,7,8,8  
Low-energy air-cooling vests for workers,7.0,7,7,7  
Community-supported fishery programs,7.7,6,9,8  
Solar-powered school backpack lights,7.3,7,8,7  
Portable hand-pumped water filters,8.0,7,9,8  
AI-free smart thermostats for apartments,7.3,8,7,7  
Modular bamboo furniture for classrooms,7.7,6,9,8  
Biodegradable fishing gear for marine safety,7.3,7,8,7  
Low-cost braille e-readers for students,7.7,8,7,8  
Community-owned wind turbine projects,7.3,7,8,7  
Solar-powered food dehydrators for farmers,7.7,7,8,8  
Reusable silicone lids for food storage,8.3,6,9,9  
Handheld UV water purifiers for travelers,7.7,8,8,7  
Urban park Wi-Fi hubs with solar charging,7.3,7,8,7  
Modular disaster-relief water tanks,7.7,7,8,8  
Low-tech rodent-repellent grain silos,7.3,7,7,8  
Community-run zero-waste grocery stores,8.0,6,9,9  
Portable solar ovens for camping,7.7,7,8,8  
Recycled tire playground flooring,7.3,6,8,8  
Low-cost prosthetic 3D printing workshops,7.7,9,7,7  
Solar-powered bus shelters with USB ports,7.3,7,8,7  
Modular green walls for urban air quality,7.7,7,8,8  
Hand-cranked blenders for off-grid kitchens,7.0,6,8,7  
Biodegradable seed paper for planting,8.0,5,9,9  
Community-driven repair tool libraries,7.7,6,9,8  
Solar-powered mosquito repellent lamps,7.3,7,8,7  
Portable disaster-relief communication kits,7.7,8,8,7  
Low-energy baby warmers for clinics,7.3,7,7,8  
Reusable cloth diaper rental services,8.0,6,9,9  
Urban rooftop chicken coop collectives,7.3,6,8,8  
Solar-powered trail markers for hikers,7.7,7,8,8  
Modular rainwater harvesting systems,7.3,7,7,8  
Low-cost braille signage for public transit,7.7,7,8,8  
Portable hand-operated washing machines,7.0,6,8,7  
Community-curated plant swap events,8.0,4,9,9  
Solar-powered outdoor study hubs,7.7,7,8,8  
Biodegradable pet waste composters,7.3,6,8,8  
Low-tech water-saving shower timers,7.7,5,9,9  
Community-run solar panel cleaning co-ops,7.3,6,8,8  
Low-cost lunar soil simulant for research,7.0,8,6,7  
CubeSat kits for high school STEM programs,7.3,8,7,7  
Reusable rocket fuel depots for small satellites,6.7,9,5,6  
Space debris recycling prototypes,6.3,9,4,5  
Miniature hydroponic systems for ISS experiments,7.7,8,7,8  
Open-source orbital trajectory calculators,7.0,7,6,7  
Solar sail propulsion test kits,6.0,9,4,5  
Martian habitat 3D-printing materials,6.7,9,5,6  
Low-gravity exercise equipment for astronauts,7.3,8,6,7  
AI-free satellite collision avoidance systems,7.0,8,6,7  
Space tourism waste management solutions,6.3,7,5,6  
Modular space station airlock prototypes,6.7,9,5,6  
Lunar ice mining simulation tools,7.0,8,6,7  
DIY astrobiology experiment kits,7.3,7,7,7  
Space-grade solar panel testing for universities,7.7,8,7,8  
Manual contract clause database for SMEs,7.7,5,8,8  
Privacy law compliance workshops for startups,7.3,4,8,7  
Open-source jury selection analytics tools,6.7,6,7,6  
Blockchain-based notary verification,7.0,7,7,7  
Ethical AI audit frameworks for law firms,7.3,6,8,7  
Plain-language legal document converters,8.0,5,9,8  
Manual e-discovery keyword tagging tools,6.7,5,7,6  
Community-run legal aid chatbots (rule-based),7.0,6,8,7  
Law student mentorship matchmaking platforms,7.3,4,8,8  
Legal precedent visualization dashboards,7.7,7,7,8  
Non-AI trademark conflict checkers,7.0,6,7,7  
Ethical supply chain compliance templates,7.3,5,8,8  
Manual court deadline reminder apps,8.0,4,9,9  
Law firm carbon footprint calculators,7.7,5,8,7  
DIY arbitration agreement builders,7.0,6,7,7  
Modular EV battery swap stations,7.7,8,7,8  
AI-free traffic congestion heatmaps,7.3,7,7,7  
Retrofit kits for diesel-to-electric buses,7.0,8,7,7  
Bicycle lane air quality monitors,7.3,7,7,7  
Rural autonomous shuttle pilot programs,6.7,8,6,6  
Smart parking permits for residents,8.0,6,9,8  
Hydraulic bridge repair drones,6.3,8,5,6  
Portable toll booth payment kiosks,7.7,7,8,7  
Low-noise pavement for urban highways,7.3,7,7,8  
Cargo e-bike leasing for small businesses,7.7,6,8,8  
Ferry electrification retrofit programs,7.0,8,7,7  
Manual freight train scheduling tools,7.3,6,7,7  
Solar-powered highway guardrails,7.0,7,7,7  
Community-owned carpool vans,8.0,5,9,9  
Modular airport baggage handling systems,7.3,8,7,7  
Portable malaria diagnostic stickers,7.7,8,8,7  
Low-cost neonatal jaundice phototherapy,8.0,7,9,8  
Non-AI surgical instrument trackers,7.3,7,7,7  
Manual telemedicine carts for rural clinics,7.7,6,8,8  
Reusable orthopedic braces for children,8.0,7,9,8  
Community mental health first-aid kits,7.3,5,8,8  
Solar-powered vaccine cold storage,7.7,8,8,7  
Handheld anemia detection devices,7.0,7,7,7  
3D-printed custom dental retainers,8.3,8,8,8  
Low-tech prosthetic socket fitting tools,7.7,7,8,7  
Mobile clinics on retrofitted buses,7.3,6,8,7  
Manual cataract surgery simulators,7.0,8,7,6  
Reusable IV drip stands for hospitals,8.0,6,9,9  
AI-free drug interaction checkers,7.3,6,8,7  
Community-run physiotherapy hubs,7.7,5,9,8  
Manual soil salinity test kits,7.7,7,8,7  
Drought-resistant seed swap networks,8.0,5,9,9  
Low-tech pest-repelling companion planting guides,7.3,4,8,8  
Portable milk pasteurizers for small farms,7.7,7,8,7  
Modular chicken coop ventilation systems,7.3,6,8,7  
Hand-cranked grain threshers,7.0,6,7,7  
Compost tea brewers for organic farms,7.7,6,8,8  
Non-electric fruit drying racks,7.3,5,8,7  
Manual irrigation scheduling tools,7.0,5,8,7  
Low-cost greenhouse humidity monitors,7.7,7,8,7  
Recycled fishing net trellises for crops,7.3,6,8,7  
Community-run seed cleaning stations,8.0,5,9,9  
Solar-powered fencing for livestock,7.7,7,8,7  
Manual coffee bean sorting tables,7.3,6,7,7  
Fermented organic fertilizer workshops,7.7,6,8,8  
Ethical gemstone traceability platforms,7.7,6,8,8  
Manual inventory RFID tagging systems,7.3,7,7,7  
Subscription-based upcycled fashion boxes,8.0,5,9,9  
Farm-to-table restaurant supply dashboards,7.7,6,8,8  
Low-waste packaging return programs,8.0,5,9,9  
Handmade craft insurance for artisans,7.3,4,8,7  
Pop-up zero-plastic grocery stores,7.7,6,8,8  
AI-free virtual fitting room mirrors,7.3,7,7,7  
Community-owned local currency systems,7.0,5,8,7  
Fair-trade coffee bean roasting co-ops,8.0,6,9,8  
Manual supply chain audit tools,7.7,5,8,8  
Low-carbon delivery route optimizers,7.3,7,7,7  
Reusable gift wrap rental services,8.0,4,9,9  
Handmade soap subscription boxes,7.7,5,9,8  
Ethical toy material certification,7.3,6,8,7  
Tactile sidewalk navigation tiles,8.0,7,8,8  
Low-cost screen reader for braille displays,7.7,8,7,7  
Manual sign language flashcards for schools,7.3,4,8,8  
Adaptive gardening tools for wheelchair users,7.7,6,8,7  
Portable ramp kits for small businesses,8.0,5,9,9  
Non-visual cooking timers with haptic feedback,7.3,7,7,7  
Audio-described board games for the blind,7.7,5,8,8  
Modular prosthetic covers for children,7.3,6,8,7  
Low-tech wheelchair attachment for snow,7.0,7,7,7  
Community-run accessibility audit apps,8.0,6,9,8  
Lunar regolith-based radiation shielding,6.7,9,5,6  
Student-designed CubeSat constellations,7.0,8,7,7  
Open-source Mars habitat simulation software,7.3,7,6,7  
Space elevator tether material prototypes,5.0,10,3,2  
Low-cost asteroid mining drill prototypes,6.3,9,4,5  
AI-free satellite health monitoring systems,7.7,8,7,7  
Zero-gravity 3D printing for orbital repairs,6.7,9,5,6  
Lunar dust filtration systems for habitats,7.0,8,6,7  
DIY exoplanet observation kits for amateurs,7.3,7,7,7  
Solar flare prediction sensors for satellites,7.0,8,6,7  
Space-grade algae bioreactors for oxygen,7.7,8,7,8  
Modular space suit cooling systems,7.3,8,6,7  
Martian soil-based concrete for construction,6.7,9,5,6  
Low-Earth orbit cleanup drones,7.0,8,6,7  
Space tourism emergency evacuation pods,6.3,9,5,5  
Open-source rocket engine test stands,6.7,9,4,6  
Lunar GPS navigation prototypes,7.0,8,6,7  
Microgravity plant pollination tools,7.3,7,7,7  
Space junk harpoons for debris capture,6.7,8,5,6  
DIY radio telescopes for schools,7.7,7,8,8  
Manual anti-money laundering check tools,7.3,5,8,7  
Blockchain-based intellectual property ledgers,7.7,7,7,8  
Open-access legal precedent chatbots (rule-based),7.0,6,8,7  
Ethical AI-free divorce mediation platforms,7.3,5,8,8  
Privacy law compliance gamification apps,7.7,6,8,8  
Crowdsourced jury duty experience platform,6.7,4,7,7  
